var_id,tag_name,story_id,psr_idx,psr_style,is_footnote,text,permission
C_000460,story_02_ch02_rt02,u10a9,101,01 本文,False,「挨拶廻りですか？ 事業所や工場にも行かれていると聞いています」,TEXT_ONLY_REPLACE
C_000461,story_02_ch02_rt02,u10a9,102,01 本文,False,「そうそう。もっぱらお客さん廻りと、事業所廻りだ。 実はね、納会が過ぎてからだったんだけど、ジェインの日下部さんから連絡をもらって、 『二人で忘年会をしよう』 と言われて、食事に行ったんだ。 日下部さんは、大手町のFAから、 『クロージング前に電子にあんまりちょっかいを出すな』 って釘を刺されたらしくて、くれぐれもこっそりということで」 と言い、小さく笑う寺田社長。,TEXT_ONLY_REPLACE
C_000462,story_02_ch02_rt02,u10a9,103,01 本文,False,「あの会食のことが、FAの耳に入ったのでしょうか・・・」 首をすくめる西郷。,TEXT_ONLY_REPLACE
C_000463,story_02_ch02_rt02,u10a9,104,01 本文,False,「そのようだ。 林さんがウチに来ていることも、FAは知っているみたいだよ。 でも日下部さんは、全く気にしていなくて、 『そういうことなので、こっそりと会いましょう』 ということになってね」 と言いながら、寺田社長は大きな笑みをこぼす。,TEXT_ONLY_REPLACE
C_000464,story_02_ch02_rt02,u10a9,105,01-03 項 見出し,False,従業員とお客さんをしっかりグリップ,TEXT_ONLY_REPLACE
C_000465,story_02_ch02_rt02,u10a9,106,01 本文,False,「そうでしたか。ジェインは、ずいぶん前のめりですね・・・日下部さんからは、どんな話があったのですか？」,TEXT_ONLY_REPLACE
C_000466,story_02_ch02_rt02,u10a9,107,01 本文,False,「いろんな話が出た。 いちばん言いたかったことは、 『クロージングまでの期間は、不安定な時期だから、社員とお客さんに平時以上に気を配ってほしい』 ということだだった」,TEXT_ONLY_REPLACE
C_000467,story_02_ch02_rt02,u10a9,108,01 本文,False,「社員のほうも、お客さんにも、事前に計画をたてて、一つずつ、対応策を打っていますが・・・」,TEXT_ONLY_REPLACE
C_000468,story_02_ch02_rt02,u10a9,109,01 本文,False,「うん、そうだね。だから、どういう手を打っているかを説明したんだけど、 『それだけじゃ十分でない』 って、日下部さんには言われた。 クロージングまで、まだ３カ月あるし、クロージングを過ぎてからも 『できることは、何でもやってくれ』 ということだった」,TEXT_ONLY_REPLACE
C_000469,story_02_ch02_rt02,u10a9,110,01 本文,False,「そうですか・・・」,TEXT_ONLY_REPLACE
C_000470,story_02_ch02_rt02,u10a9,111,01 本文,False,「今回のことは、お客さんや社員に、将来のことを考え直す機会を与える。 不安になると、他の選択肢に心が動きやすくなる。 でもよく考えた結果、 『このままがベストだ』 と、現状の良さを確信してもらえれば、会社との関係性はより強くなる。だから、 『今回のことを、組織を強くできるチャンスにしてくれ』 って。 そう仕向けるのが社長の役割だって、発破をかけられたよ」,TEXT_ONLY_REPLACE
C_000471,story_02_ch02_rt02,u10a9,112,01 本文,False,「そうですか。 お客さんとの契約の多くには、Change of Control条項,TEXT_ONLY_REPLACE
C_000472,story_02_ch02_rt02,u10a9,112,01 本文,True,　Change of Control条項とは、経営権の移転や支配権の変動が発生した場合に、取引先企業が契約を解除できる権利を定めた条項のこと。,TEXT_ONLY_REPLACE
C_000473,story_02_ch02_rt02,u10a9,112,01 本文,False,がついていて、ジェインは、デューデリジェンスの際に、それを全てチェックしましたよね。 重要な取引先からの承諾取得が、クロージング条件に入っていたから、必要な先には、書面や電話で連絡しましたし、先方の温度感を確認した上で、直接訪問して、承諾を得ました」,TEXT_ONLY_REPLACE
C_000474,story_02_ch02_rt02,u10a9,114,01 本文,False,「うん・・・でも、 『今回は承諾しても、近い将来、離脱する可能性が、普段よりも高くなっている』 って言うんだ。 特に、 『ミツカネブランドで取引しているお客さんは要注意だから、この時点で関係性を一段と強固にしてほしい』 って」,TEXT_ONLY_REPLACE
C_000475,story_02_ch02_rt02,u10a9,115,01 本文,False,「確かに・・・競合からの攻勢は日々激しくなっています・・・」,TEXT_ONLY_REPLACE
C_000476,story_02_ch02_rt02,u10a9,116,01 本文,False,「そうなんだよね。 どうもそれらしい噂を、日下部さんたちも他から耳にしているようなんだ。 『単に挨拶の回数や会食を増やしただけではダメだ』 って。 『電子の強みを活かして、実力で勝負しなさい』 って」,TEXT_ONLY_REPLACE
C_000477,story_02_ch02_rt02,u10a9,117,01 本文,False,「それはそのとおりですね・・・ブランドに象徴されているウチの技術力を、もっと具体的に言語化して、それをクリアに伝えていかなきゃいけませんね。 それで社員のほうは？」 西郷は、日下部代表パートナーが何を心配しているのかが気になる。,TEXT_ONLY_REPLACE
C_000478,story_02_ch02_rt02,u10a9,118,01 本文,False,「社員にも、 『転職の誘いがきているはずだ』 って、日下部代表さんは言っていた。 ウチに限らずだけど、若い社員は、転職する気がなくとも、自分の価値を自己認識するために、エージェントに登録しているらしい。 エージェントも、ウチの件をリリースでみた直後に、 『個別にスカウトしているはずだ』 って」,TEXT_ONLY_REPLACE
C_000479,story_02_ch02_rt02,u10a9,119,01 本文,False,「でも・・・誰か辞めるという話は、聞いていませんが・・・」,TEXT_ONLY_REPLACE
C_000480,story_02_ch02_rt02,u10a9,120,01 本文,False,「最近では、上司には、辞めるかどうかを相談するのではなく、 『辞めます』 と言いにくるだけらしいよ。 決めてからくるから、話を聞かされたときは、時すでに遅しだ。 翻意させられないって」,TEXT_ONLY_REPLACE
C_000481,story_02_ch02_rt02,u10a9,121,01 本文,False,「話は水面下で進んでいるということですね・・・」,TEXT_ONLY_REPLACE
C_000482,story_02_ch02_rt02,u10a9,122,01 本文,False,「これまで車座集会を開いてわかったことは、一度、話したくらいでは、社員の理解を得ることは難しいってことだ。 いろんな機会を作って、社員と直接対話する機会を増やさなきゃいけないと思っていたんだけど、なんやかんやで、当初の予定どおりには実現できていないんだよね」,TEXT_ONLY_REPLACE
C_000483,story_02_ch02_rt02,u10a9,123,01 本文,False,「たしかに・・・米倉さんは、ここに来るたびに、どっさりと宿題を置いていきますから、社長も私も思うように時間がとれませんよね・・・」,TEXT_ONLY_REPLACE
C_000484,story_02_ch02_rt02,u10a9,124,01 本文,False,「うん、でも 『何人かが辞めると、堰を切ったように次々と辞めていくから、リテンション,TEXT_ONLY_REPLACE
C_000485,story_02_ch02_rt02,u10a9,124,01 本文,True,　リテンション（Retention） とは、企業が従業員や既存顧客を維持し、長期的な関係を築くための施策のこと。,TEXT_ONLY_REPLACE
C_000486,story_02_ch02_rt02,u10a9,124,01 本文,False,したい社員がいれば、早い段階から、あらゆる手を使ってリテンションしてください』 ってことも言われた」,TEXT_ONLY_REPLACE
